Location,Scenario,Contextual_Similarity
Park,Blowing a kiss to a stranger by accident,0.7427
Harbor,Accidentally destroying a child's sandcastle masterpiece,0.7427
Train Station,Running from the Cops,0.7427
Mansion,Undercover Sting Operation,0.7427
Jungle,Trying to catch a fly with chopsticks,0.7427
Subway Train,Being trapped in a sleeping bag during a bear attack,0.7427
Farmer's Market,Trying to sell ice to an Eskimo,0.7427
Diner,Getting caught trying to smuggle a dinosaur egg,0.7427
Military Helicopter,Attempting to perform a citizen's arrest on a pigeon,0.7427
Subway Train,Camping Trip Where Everything Goes Wrong,0.7427
Church,Ruining a silent retreat by having hiccups,0.7427
Prison,Attempting to negotiate a peace treaty between two rival book clubs,0.7427
City,Going on a Spontaneous Road Trip,0.7427
Sporting Event,Attempting to bring a sword through airport security,0.7427
Sporting Event,Trying to barter with a toll booth operator,0.7427
Mountain,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7427
Penthouse Suite,Making a dramatic exit by walking into a closet,0.7427
County Fair,Trying to start a fire by rubbing two sticks together,0.7427
Emergency Room,Rescuing a cat from a tree and getting stuck yourself,0.7427
Jungle,Explaining why you are wearing your friend's clothes,0.7427
Farmer's Market,Accidentally promising to cook a five-course meal for 20 people,0.7427
Underwater City,House Party That Got Out of Hand,0.7427
Bridge,Bomb Defusal Under Pressure,0.7427
Garden,Muddy Festival Camping,0.7427
Desert,Running Out of Gas,0.7427
Circus,Arriving at a potluck empty-handed,0.7427
Sporting Event,Getting your tongue stuck to a frozen pole,0.7427
City,Attempting to resurrect a dead houseplant with dark magic,0.7427
Horse Racing Track,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7427
Courthouse,Accidentally giving a five-star review to a terrible restaurant,0.7427
Library,Spilling red wine on a white carpet,0.7427
Big City Street,Arguing with the GPS voice out loud,0.7427
Teacher's Lounge,Lost in Translation,0.7427
International Space Station,Trying to fix a leaky pipe with duct tape,0.7427
Igloo,Getting Lost Without a Map,0.7427
Church,Getting Lost Without a Map,0.7427
Small Town,Forgetting to wear pants to a Zoom meeting and standing up,0.7427
Prison Cell,Trying to catch a fly with chopsticks,0.7427
Car Wash,Backing over your neighbor's prized rose bush,0.7427
Medieval Village,Trying to start a fire by rubbing two sticks together,0.7427
Outdoor Pool,Making a Scene in a Restaurant,0.7427
Bus Station,Going on a Spontaneous Road Trip,0.7427
Theater,Calling 911 because you lost the TV remote,0.7427
Forest,Refusing to share an umbrella in a hurricane,0.7427
Big City Street,"Taping a ""kick me"" sign to your own back",0.7427
Upscale Hotel Lobby,Starting a Bar Fight,0.7427
Underwater,Pretending to know the host of a VIP party you crashed,0.7427
Courtroom,Getting caught doing a TikTok dance in the boardroom,0.7427
Waiting Room,High-Stakes Poker Game,0.7427
Big City Street,Walking out of a restaurant without paying and returning out of guilt,0.7427
Palace,Hiding in a retail store until after it closes,0.7427
City,Having a public meltdown because they discontinued your favorite snack,0.7427
Pool Hall,Trying to pass off a fake painting to an art appraiser,0.7427
Black-Tie Event,Entering a hot dog eating contest to impress a vegetarian,0.7427
Lake,Escaping a boring party by crawling through a vent,0.7427
Tank,Spilling coffee on a priceless piece of art,0.7427
Apartment Building,Trying to fix a leaky pipe with duct tape,0.7427
Airplane,Swearing in front of a group of nuns,0.7427
River,Being trapped in a sleeping bag during a bear attack,0.7427
Art Gallery,Witnessing a bank robbery and asking for an autograph,0.7427
Ancient Library,Performing an Exorcism,0.7427
Recording Studio,Swimming in a public fountain,0.7427
Run-Down Apartment,Investigating a Haunting,0.7427
Online,Explaining to border control why your suitcase is full of rocks,0.7427
Attic,Trapped in a tent with a friend who won't stop talking,0.7427
Alien Planet,Playing hide and seek and falling asleep,0.7427
Recording Studio,Dropping the bride's ring down a sewer grate,0.7427
Zoo,Trying to hide a dead body in a shallow grave,0.7427
Amusement Park,Selling fake concert tickets,0.7427
River,Performing an Exorcism,0.7427
Abandoned Mine,Discovering a secret room behind a bookcase,0.7427
Alley,"Taping a ""kick me"" sign to your own back",0.7427
Airport,Bomb Defusal Under Pressure,0.7427
Garden,Being trapped in a sleeping bag during a bear attack,0.7426
Farm,Performing an Exorcism,0.7426
Psychiatric Ward,Having a shouting match with a parrot,0.7426
Public Restroom,Starting a Bar Fight,0.7426
Pool Hall,Explaining to the mafia boss why the pizza is late,0.7426
Mall,Calling a partner by the wrong name during an argument,0.7426
College Campus,Panicking and throwing your keys into a river,0.7426
Ice Cream Parlor,Trying to return a half-eaten sandwich,0.7426
Haunted House,Going to a costume party a week early,0.7426
Bookstore,Finding a treasure map on the back of a fast-food receipt,0.7426
Beach Party,Emergency Evacuation,0.7426
Prison,Overthrowing a small island nation's government,0.7426
Desert,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7426
Woods,Office Holiday Party,0.7426
Pond,Offending a wizard and getting turned into a frog,0.7426
Big City Street,Throwing out someone else's winning lottery ticket,0.7426
Medieval Castle,Sending an event announcement with a massive typo to the entire university,0.7426
Igloo,Spilling red wine on a white carpet,0.7426
Executive's Office,Accidentally promising to cook a five-course meal for 20 people,0.7426
Elementary School Classroom,Bribing a health inspector with stale cookies,0.7426
Police Station,Trying to fix a leaky pipe with duct tape,0.7426
Funeral Home,Office Holiday Party,0.7426
Crystal Cave,Playing hide and seek and falling asleep,0.7426
Bus Station,Flirting with the Boss,0.7426
Office Cubicle,Trying to barter with a toll booth operator,0.7426
Workshop,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7426
Online,Ruining the Bride's Dress,0.7426
Emergency Room,Auditioning for a musical when you are tone-deaf,0.7426
Library,Falling Asleep During a Meeting,0.7426
Library,Falling in Love at First Sight,0.7426
Parade,Pretending to understand a foreign film,0.7426
Circus,House Party That Got Out of Hand,0.7426
Campsite,Going on a Spontaneous Road Trip,0.7426
Deli,Buying a supposedly haunted car that just plays bad 80s music,0.7426
Kitchen,Cleaning Up After a Massive Party,0.7426
Theater,Taking credit for a colleague's idea right in front of them,0.7426
Online,Explaining why you faked your own death to avoid paying rent,0.7426
Wedding Reception,Getting caught putting a fake bug in your soup for a free meal,0.7426
Nightclub,Cheating at a Board Game,0.7426
Alley,Waking up in a different country with no memory of how you got there,0.7426
Car Accident Site,Realizing you booked the wrong flight on the wrong continent,0.7426
Virtual Reality World,Attempting to perform open-heart surgery using a YouTube tutorial,0.7426
River,Explaining to border control why your suitcase is full of rocks,0.7426
Living Room,Faking an injury to get out of helping a friend move,0.7426
Cave,Trying to sneak out of a house party with a stolen bottle of wine,0.7426
Cave,Accidentally destroying a child's sandcastle masterpiece,0.7426
University Lecture Hall,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7426
War Zone,Fleshing Out a Heist Plan,0.7426
River,Negotiating a ride hitchhiking with a very strange driver,0.7426
Underwater City,Trying to sell ice to an Eskimo,0.7426
Prison Cell,Initiating a slow clap that nobody joins,0.7426
Market,Buying a supposedly haunted car that just plays bad 80s music,0.7426
Apartment Building,Bringing a live turkey to Thanksgiving dinner,0.7426
Industrial Factory,Biting into a fake apple at an open house,0.7426
Quarry,Setting off fireworks indoors,0.7426
Golf Course,Pretending to be a psychic to scam tourists,0.7426
Courtroom,Arguing that the Earth is flat just to annoy someone,0.7426
Subway Train,Lying about knowing martial arts to intimidate a mugger,0.7426
Subway Train,Getting caught practicing a cool entrance in the mirror,0.7426
Apartment Building,Attempting to banish a poltergeist with a broom,0.7426
Bank Vault,Not knowing how to use a manual can opener,0.7426
Botanical Garden,Lying about being able to speak French in Paris,0.7426
Living Room,Investigating a Haunting,0.7426
Upscale Hotel Lobby,Trying to start a fire by rubbing two sticks together,0.7426
Car Accident Site,Pretending to understand a foreign film,0.7426
Courtroom,Ruining a child's birthday party with an inappropriate magic trick,0.7426
Underwater,Trying to use a Jedi mind trick on a stubborn bouncer,0.7426
Apartment Building,Ruining the Bride's Dress,0.7426
Library,Dropping the bride's ring down a sewer grate,0.7426
Bus Station,Spilling red wine on a white carpet,0.7426
Taxi Cab,Explaining to the mafia boss why the pizza is late,0.7426
Lake House,Opening someone else's mail and finding a ransom note,0.7426
Spaceship,Attempting to perform open-heart surgery using a YouTube tutorial,0.7426
On the phone,Attempting to bring a sword through airport security,0.7426
Sporting Event,Arguing with a Bouncer,0.7426
Church,Dropping the birthday cake right before singing,0.7426
Egyptian Pyramids,Sneaking into a celebrity's dressing room,0.7426
Rainforest,Planning a Prison Escape,0.7426
Alien Planet,Fleshing Out a Heist Plan,0.7426
Parade,Having a public meltdown because they discontinued your favorite snack,0.7426
Casual Dining Restaurant,Purchasing a haunted antique that won't stop screaming,0.7426
Executive's Office,Purchasing a haunted antique that won't stop screaming,0.7426
City Bus,Spilling coffee on a priceless piece of art,0.7426
Small Town,Bringing a live turkey to Thanksgiving dinner,0.7426
Laboratory,Organizing a Surprise Party (and Ruining It),0.7426
Wedding Reception,Explaining to your family why you married a hologram,0.7426
Beach,Losing the winning lottery ticket in the trash,0.7426
Elementary School Classroom,Attempting to smuggle a wheel of cheese through airport security,0.7426
Military Helicopter,Negotiating with a kidnapper,0.7426
Golf Course,Negotiating a ride hitchhiking with a very strange driver,0.7426
Underwater,Discovering a Spouse's Secret,0.7426
City,Trying to assemble IKEA furniture without the instructions,0.7426
Canal,Purchasing a haunted antique that won't stop screaming,0.7426
Restaurant,Attempting to buy groceries with monopoly money,0.7426
Prison,Being challenged to a dance battle by a group of teenagers,0.7426
Birthday Party,Sending an event announcement with a massive typo to the entire university,0.7426
Village,Being challenged to a dance battle by a group of teenagers,0.7426
House Fire,Making a dramatic exit by walking into a closet,0.7426
Ancient Library,Navigating a foreign city with a broken map and no language skills,0.7426
Ambulance,Handling a Hostage Negotiation,0.7426
Race Track (Horses),Trying to steal a famous painting from a museum,0.7426
Mechanic's Shop,Trapped in a revolving door with a mime,0.7426
Funeral Home,Escaping a boring party by crawling through a vent,0.7426
College Campus,Accidentally sending a screenshot of a chat to that chat,0.7426
Pirate Ship,Trying to start a fire by rubbing two sticks together,0.7426
Amusement Park,Escape Room Disaster,0.7426
Castle,Finding a treasure map on the back of a fast-food receipt,0.7426
Motel,Trying to start a fire by rubbing two sticks together,0.7426
Orchard,Setting off fireworks indoors,0.7426
Moon Base,Trying to invent a new color,0.7425
International Space Station,Hacking a Secure System,0.7425
Laboratory,Auditioning for a musical when you are tone-deaf,0.7425
Newsroom,Sending an event announcement with a massive typo to the entire university,0.7425
Art Gallery,Office Holiday Party,0.7425
Prison Cell,Trying to assemble IKEA furniture without the instructions,0.7425
Castle,Trying to assemble IKEA furniture without the instructions,0.7425
Beach Party,Spilling red wine on a white carpet,0.7425
Emergency Room,Getting kicked out of a world-renowned museum,0.7425
Palace,Accidentally destroying a child's sandcastle masterpiece,0.7425
Cavern,Getting Lost Without a Map,0.7425
Camp,Murder Mystery Dinner,0.7425
City,Negotiating with a kidnapper,0.7425
Fishing Boat,Muddy Festival Camping,0.7425
Ballroom,Swearing in front of a group of nuns,0.7425
Medieval Castle,Interrupting a moment of silence with a loud ringtone,0.7425
Car Accident Site,Confessing to a crime you didn't commit just to get out of a conversation,0.7425
Elementary School Classroom,Being challenged to a dance battle by a group of teenagers,0.7425
Therapist's Office,Spilling red wine on a white carpet,0.7425
Desert,Trying to invent a new color,0.7425
Outdoor Pool,Office Holiday Party,0.7425
Bowling Alley,Escaping a boring date through the bathroom window,0.7425
Psychiatric Ward,Pulling a fire alarm to get out of a bad date,0.7425
Used Car Dealership,Attempting to buy groceries with monopoly money,0.7425
Ballroom,Trying to defuse a bomb with safety scissors,0.7425
Airport,Explaining to the mafia boss why the pizza is late,0.7425
Hospital,Trying to defuse a bomb with safety scissors,0.7425
Hospital Room,High-Stakes Poker Game,0.7425
River,Throwing a temper tantrum in a grocery store,0.7425
Small Town,Trying to escape a maze,0.7425
Airplane,Trying to teach a dog how to drive a car,0.7425
Indoor Shooting Range,Getting Lost Without a Map,0.7425
City,Accidentally sending a screenshot of a chat to that chat,0.7425
Rainforest,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7425
Village,Overfeeding someone else's fish until they explode,0.7425
Police Car,Tripping over nothing and acting like you meant to do it,0.7425
Parking Lot,Falling Asleep During a Meeting,0.7425
Ranch,House Party That Got Out of Hand,0.7425
Nursing Home,Calling a partner by the wrong name during an argument,0.7425
Airport,Running from the Cops,0.7425
Fast Food Restaurant,Lying about being able to speak French in Paris,0.7425
Restaurant,Selling fake concert tickets,0.7425
Medieval Village,Trying to escape a maze,0.7425
Bus Station,Throwing out someone else's winning lottery ticket,0.7425
Courtroom,Accidentally buying a cursed doll at a garage sale,0.7425
Mall,Falling Asleep During a Meeting,0.7425
Residential Bathroom,Throwing a temper tantrum in a grocery store,0.7425
Restaurant,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.7425
Space Station,Attempting to bring a sword through airport security,0.7425
Castle,Ruining the Bride's Dress,0.7425
Birthday Party,Fleshing Out a Heist Plan,0.7425
Water Park,Ruining a child's birthday party with an inappropriate magic trick,0.7425
Medieval Castle,Catching the Bouquet (and Regretting It),0.7425
Funeral Home,Hiding in a retail store until after it closes,0.7425
Bank,Insisting that birds aren't real at a bird-watching convention,0.7425
Sporting Event,Giving Terrible Directions,0.7425
Police Station,Trying to assemble IKEA furniture without the instructions,0.7425
Haunted House,Getting your tongue stuck to a frozen pole,0.7425
Police Station,Falling Asleep During a Meeting,0.7425
Restaurant,Attempting to steal the Declaration of Independence,0.7425
Community Center,Making a dramatic exit by walking into a closet,0.7425
Small Town Street,Discovering a secret room behind a bookcase,0.7425
Police Station,Lying about being able to speak French in Paris,0.7425
Subway Train,Trying to assemble IKEA furniture without the instructions,0.7425
Subway Tunnel,Waking up in a different country with no memory of how you got there,0.7425
On the phone,Cheating at a Board Game,0.7425
Restaurant,Planning a Bank Heist,0.7425
Sporting Event,Escape Room Disaster,0.7425
Dojo,Performing an Exorcism,0.7425
Nightclub,Getting Stood Up,0.7425
Hunting Cabin,Finding a treasure map on the back of a fast-food receipt,0.7425
Rock Concert,Accidentally promising to cook a five-course meal for 20 people,0.7425
Mountain,Hiding under a bed to avoid a conversation,0.7425
Creek,Biting into a fake apple at an open house,0.7425
Barbershop,Trapped in a revolving door with a mime,0.7425
Apartment Building,Arriving at a potluck empty-handed,0.7425
Jungle,Attempting to domesticate a wild raccoon,0.7425
Apartment Building,Accidentally Crashing a Wedding,0.7425
Fire Station,Trying to defuse a bomb with safety scissors,0.7425
Elementary School Classroom,Having a shouting match with a parrot,0.7425
Construction Site,Trying to hide a dead body in a shallow grave,0.7425
Outdoor Pool,Trying to break a curse by kissing a frog,0.7425
Urban Rooftop,Getting Lost Without a Map,0.7425
Laundromat,Spitting out terrible food into a napkin while the chef watches,0.7425
Military Base,Making a dramatic exit by walking into a closet,0.7425
Taxi,Explaining to your landlord why there is a horse in your apartment,0.7425
Jungle,Suing a restaurant because the food was too spicy,0.7425
Island,Interrupting a Wedding,0.7425
Golf Course,Investigating a Haunting,0.7425
Online,Explaining to the mafia boss why the pizza is late,0.7425
Diner,Refusing to tip because the waiter sneezed,0.7425
Dorm Room,Trying to start a fire by rubbing two sticks together,0.7425
Hiking Trail,Taking a bite out of a decorative wax apple,0.7425
Elementary School Classroom,Getting bitten by a radioactive spider and getting terrible powers,0.7425
Gymnasium,Getting kicked out of a world-renowned museum,0.7425
Beach Party,Ruining the Bride's Dress,0.7425
Psychiatric Ward,Getting Lost Without a Map,0.7425
City,Trying to return a half-eaten meal claiming it was poisoned,0.7425
Maze,Kicking a soccer ball into someone's face,0.7425
Tree House,Escaping a boring party by crawling through a vent,0.7425
Prison Cell,Sending an event announcement with a massive typo to the entire university,0.7425
Rainforest,Dropping the birthday cake right before singing,0.7425
Office Cubicle,Faking expertise in a high-level technical meeting,0.7425
Subway Train,Impersonating a tour guide at a museum,0.7425
Ice Cream Parlor,Delivering a pizza to a supervillain's secret lair,0.7425
Island,Catching the Bouquet (and Regretting It),0.7425
Community Center,Murder Mystery Dinner,0.7424
Backyard,Staging an Intervention,0.7424
Arctic Tundra,Taking a bite out of a decorative wax apple,0.7424
Maze,Getting trapped inside a mascot costume,0.7424
Ski Resort,Buying a supposedly haunted car that just plays bad 80s music,0.7424
Clock Tower,Spitting out terrible food into a napkin while the chef watches,0.7424
Cave,Arriving at a potluck empty-handed,0.7424
Cave,Fleshing Out a Heist Plan,0.7424
County Fair,Insisting that birds aren't real at a bird-watching convention,0.7424
Used Car Dealership,Running Out of Gas,0.7424
Principal's Office,Getting Lost Without a Map,0.7424
Small Town,Spitting out terrible food into a napkin while the chef watches,0.7424
Bookstore,Interrupting a moment of silence with a loud ringtone,0.7424
Volcano,Attempting to steal the Declaration of Independence,0.7424
Teacher's Lounge,Hiding in a retail store until after it closes,0.7424
Parade,Opening someone else's mail and finding a ransom note,0.7424
Apartment Building,Calling 911 because you lost the TV remote,0.7424
White House,Walking out of a restaurant without paying and returning out of guilt,0.7424
International Space Station,Being trapped in a sleeping bag during a bear attack,0.7424
Factory,Sneaking into a celebrity's dressing room,0.7424
Countryside,Lying about being able to speak French in Paris,0.7424
Rainforest,Robbing a bank with a banana,0.7424
Movie Set,Getting Caught Talking to Yourself,0.7424
Therapist's Office,Sneaking into a celebrity's dressing room,0.7424
On the phone,Attempting to buy groceries with monopoly money,0.7424
Factory,Walking in on a crime scene,0.7424
Gas Station,Playing hide and seek and falling asleep,0.7424
Garage,Negotiating a ride hitchhiking with a very strange driver,0.7424
On the phone,Trying to convince everyone the party isn't dead at 4 AM,0.7424
Coffeehouse,Attempting to pay for dinner with a handwritten poem,0.7424
Community Center,Bribing a health inspector with stale cookies,0.7424
Cruise Ship,Attempting to bring a sword through airport security,0.7424
Shopping Mall,Running Out of Gas,0.7424
University Quad,House Party That Got Out of Hand,0.7424
Emergency Room,Losing the winning lottery ticket in the trash,0.7424
Cabin In The Woods,Purchasing a haunted antique that won't stop screaming,0.7424
Movie Set,Waving back at someone who wasn't waving at you,0.7424
Wedding Reception,Getting caught stealing lunches from the breakroom fridge,0.7424
Public Restroom,Navigating a foreign city with a broken map and no language skills,0.7424
Amusement Park,Delivering a pizza to a supervillain's secret lair,0.7424
Bridge,Explaining to border control why your suitcase is full of rocks,0.7424
Race Track (Horses),Buying a supposedly haunted car that just plays bad 80s music,0.7424
White House,Getting bitten by a radioactive spider and getting terrible powers,0.7424
Canal,Spilling coffee on a priceless piece of art,0.7424
Post-Apocalyptic World,Accidentally volunteering for a one-way trip to Mars,0.7424
Photography Studio,Breaking a priceless vase at a museum and trying to glue it back,0.7424
Volcano,Interrupting a moment of silence with a loud ringtone,0.7424
Rainforest,Trying to hide a dead body in a shallow grave,0.7424
Car Accident Site,Trying to land a commercial airplane with no flight experience,0.7424
Psychiatric Ward,Getting caught putting a fake bug in your soup for a free meal,0.7424
Casino,Robbing a bank with a banana,0.7424
College Campus,Trying to convince the group you aren't horribly seasick,0.7424
University Lecture Hall,Ruining a child's birthday party with an inappropriate magic trick,0.7424
Airplane,Accidentally muting the CEO during a company-wide call,0.7424
Arctic Tundra,Navigating a foreign city with a broken map and no language skills,0.7424
Elementary School Classroom,Buying a supposedly haunted car that just plays bad 80s music,0.7424
Car Accident Site,Sneezing during a bank robbery,0.7424
Beach,Fleshing Out a Heist Plan,0.7424
Wedding Reception,Being challenged to a dance battle by a group of teenagers,0.7424
Office Cubicle,Finding a treasure map on the back of a fast-food receipt,0.7424
Rainforest,Pretending to be a psychic to scam tourists,0.7424
Backyard,Escaping a boring date through the bathroom window,0.7424
Spaceship,Blowing a kiss to a stranger by accident,0.7424
Big City Street,Sneaking into a celebrity's dressing room,0.7424
Office Cubicle,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7424
Shopping Mall,Faking a proposal just to get a free dessert at a restaurant,0.7424
Golf Course,Accidentally Crashing a Wedding,0.7424
Parade,Forgetting to wear pants to a Zoom meeting and standing up,0.7424
Online,Pretending to know the host of a VIP party you crashed,0.7424
Park,Trying to sell ice to an Eskimo,0.7424
Shopping Mall,Bringing a live turkey to Thanksgiving dinner,0.7424
Desert,Accidentally promising to cook a five-course meal for 20 people,0.7424
Nursing Home,Using a fake ID that says you are 85 years old,0.7424
Bonfire,Getting Lost Without a Map,0.7424
Nightclub,Negotiating with a kidnapper,0.7424
Airport,Staging an Intervention,0.7424
Taxi,Throwing out someone else's winning lottery ticket,0.7424
Wedding Reception,Discovering a secret room behind a bookcase,0.7424
Theater,Confronting the person who keeps eating your labeled yogurt,0.7424
Big City Street,Getting caught practicing a cool entrance in the mirror,0.7424
Prison,Cheating at a Board Game,0.7424
Big City Street,Falling in Love at First Sight,0.7424
Movie Theater,Breaking a priceless vase at a museum and trying to glue it back,0.7424
Construction Site,Hiding in a retail store until after it closes,0.7424
Laundromat,Walking in on a crime scene,0.7424
Parking Lot,Trying to sneak out of a house party with a stolen bottle of wine,0.7424
Salvage Yard,Muddy Festival Camping,0.7424
Indoor Shooting Range,Opening someone else's mail and finding a ransom note,0.7424
Motel,Breaking a priceless vase at a museum and trying to glue it back,0.7424
Castle,Emergency Evacuation,0.7424
On the phone,Trying to start a slow clap in an empty room,0.7424
Camp,Having a shouting match with a parrot,0.7424
Moon Base,Swimming in a public fountain,0.7424
Recording Studio,Trying to start a fire by rubbing two sticks together,0.7424
Tropical Resort,Planning a Prison Escape,0.7424
Hiking Trail,Getting caught taking selfies at a somber historical monument,0.7424
Fire Station,Explaining why you parked in the Mayor's reserved spot,0.7424
Taxi Cab,Falling in Love at First Sight,0.7424
Ice Cream Parlor,Trying to pay for a meal by washing dishes,0.7424
Restaurant,Negotiating a Ransom,0.7424
Bonfire,Trying to escape a maze,0.7424
Executive's Office,Calling a partner by the wrong name during an argument,0.7424
Space Station,Accidentally promising to cook a five-course meal for 20 people,0.7424
Psychiatric Ward,Bribing a health inspector with stale cookies,0.7424
Break Room,Throwing a temper tantrum in a grocery store,0.7423
Gas Station,Emergency Evacuation,0.7423
Limousine,Explaining why you are wearing sunglasses indoors at night,0.7423
Jewelry Store,Interrupting a moment of silence with a loud ringtone,0.7423
College Campus,Awkward First Kiss,0.7423
Underwater,Waking up to find you are the last person on earth,0.7423
Moon Base,Being trapped in a sleeping bag during a bear attack,0.7423
Car Accident Site,Extreme Jet Lag,0.7423
Nightclub,Trying to return a half-eaten meal claiming it was poisoned,0.7423
Pool Hall,Bribing a health inspector with stale cookies,0.7423
Train Station,Tripping over nothing and acting like you meant to do it,0.7423
Cemetery,Emergency Evacuation,0.7423
Police Car,Accidentally locking yourself in a dog crate,0.7423
Car Accident Site,After-Party That Won't End,0.7423
Deli,Making a dramatic exit by walking into a closet,0.7423
Cave,Telling a crying child that life isn't fair,0.7423
Wedding Reception,Trapped in a revolving door with a mime,0.7423
Liquor Store,Spilling Drinks on the Boss,0.7423
Prison,Trying to pass off a fake painting to an art appraiser,0.7423
Newsroom,Forgetting to wear pants to a Zoom meeting and standing up,0.7423
Taxi,Calling a partner by the wrong name during an argument,0.7423
Prison Cell,Getting caught sleeping under your desk,0.7423
Principal's Office,Explaining to the mafia boss why the pizza is late,0.7423
Wine Cellar,Arriving at a potluck empty-handed,0.7423
Break Room,Hiding under a bed to avoid a conversation,0.7423
Moon Base,Waking up in a different country with no memory of how you got there,0.7423
Movie Set,Having a public meltdown because they discontinued your favorite snack,0.7423
Crystal Cave,Taking a bite out of a decorative wax apple,0.7423
Palace,Hiding under a bed to avoid a conversation,0.7423
Mansion,Hiding a Fugitive,0.7423
Cavern,Swimming in a public fountain,0.7423
Movie Set,Getting caught putting a fake bug in your soup for a free meal,0.7423
Online,Refusing to share an umbrella in a hurricane,0.7423
Carnival,Discovering a secret room behind a bookcase,0.7423
Psychiatric Ward,Calling a partner by the wrong name during an argument,0.7423
On the phone,Offending a wizard and getting turned into a frog,0.7423
Military Helicopter,Sneezing during a bank robbery,0.7423
Black-Tie Event,Destroying a child's belief in Santa Claus,0.7423
Shopping Mall,Accidentally Crashing a Wedding,0.7423
Desert,Accidentally volunteering for a one-way trip to Mars,0.7423
Indoor Shooting Range,Throwing a temper tantrum in a grocery store,0.7423
Car Accident Site,Eating a stranger's leftovers at a restaurant,0.7423
Prison Cell,Accidentally eating the office fridge thief's poisoned bait,0.7423
Cabin In The Woods,Investigating a Haunting,0.7423
Secret Laboratory,Setting off fireworks indoors,0.7423
Urban Rooftop,Trying to convince the neighborhood watch you aren't a burglar,0.7423
Psychiatric Ward,Throwing a temper tantrum in a grocery store,0.7423
Cruise Ship,Throwing a temper tantrum in a grocery store,0.7423
Pool Hall,Knocking over a domino world record attempt,0.7423
Igloo,Sneaking into a celebrity's dressing room,0.7423
Swamp,Having a shouting match with a parrot,0.7423
Prom,Eating the last slice of pizza after someone else already claimed it,0.7423
Church,Insisting that birds aren't real at a bird-watching convention,0.7423
Elevator,Hacking into the Pentagon to change your grades,0.7423
Sewers,Cleaning Up After a Massive Party,0.7423
Horse Racing Track,Calling a partner by the wrong name during an argument,0.7423
Coffeehouse,Murder Mystery Dinner,0.7423
Fire Station,Backing over your neighbor's prized rose bush,0.7423
Water Park,Getting caught taking selfies at a somber historical monument,0.7423
Grocery Store,Eating a stranger's leftovers at a restaurant,0.7423
Igloo,Keeping a stolen penguin in your bathtub,0.7423
Pharmacy,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7423
Rainforest,First Day at a New Job,0.7423
Spaceship,Calling a partner by the wrong name during an argument,0.7423
Big City Street,Quitting a gang by submitting a formal letter of resignation,0.7423
Mall,Accidentally donating your roommate's favorite clothes,0.7423
White House,Giving a presentation with spinach in your teeth,0.7423
Mall,Selling fake concert tickets,0.7423
Police Car,Trying to break a curse by kissing a frog,0.7423
White House,Explaining to your landlord why there is a horse in your apartment,0.7423
Graveyard,Trapped in a revolving door with a mime,0.7423
Emergency Room,Bringing a live turkey to Thanksgiving dinner,0.7423
Prom,Trying to sell ice to an Eskimo,0.7423
Apartment Building,Planning a Bank Heist,0.7423
Prison,Overfeeding someone else's fish until they explode,0.7423
Emergency Room,Awkwardly trying to un-hug someone who was just reaching for their coat,0.7423
Skate Park,Ruining a child's birthday party with an inappropriate magic trick,0.7423
Morgue,Camping Trip Where Everything Goes Wrong,0.7423
Military Base,Falling Asleep During a Meeting,0.7423
Birthday Party,Forgetting the name of your best friend's child,0.7423
Haunted House,Having a shouting match with a parrot,0.7423
Airport,Corporate Team-Building Exercise Gone Rogue,0.7423
Nightclub,Forgetting to wear pants to a Zoom meeting and standing up,0.7423
Cemetery,Accidentally hitting a pedestrian with a golf cart,0.7423
Coral Reef,Navigating a foreign city with a broken map and no language skills,0.7423
On the phone,Explaining why you are walking a cat on a leash in a mall,0.7423
Egyptian Pyramids,Pretending to be a psychic to scam tourists,0.7423
International Space Station,Trying to convince the group you aren't horribly seasick,0.7423
Limousine,Negotiating a Ransom,0.7423
Castle,Handling a Hostage Negotiation,0.7423
Forest,Getting your tongue stuck to a frozen pole,0.7423
Ocean,First Day at a New Job,0.7423
Coffeehouse,Trying to return a half-eaten sandwich,0.7423
Theater,Complaining about the food to the chef who happens to be your date,0.7423
Hospital,Getting caught putting a fake bug in your soup for a free meal,0.7423
Mountain,Trying to sell ice to an Eskimo,0.7423
Prison,Trying to convince a superhero you aren't a supervillain,0.7423
Barn,Trying to sneak out of a house party with a stolen bottle of wine,0.7423
Psychiatric Ward,Explaining why you are wearing sunglasses indoors at night,0.7423
Airplane,Getting kicked out of a world-renowned museum,0.7423
Cave,First Day at a New Job,0.7423
Spaceship,Giving a presentation with spinach in your teeth,0.7423
Prison,Discovering a portal to another dimension in your closet,0.7423
Brewery,Spilling red wine on a white carpet,0.7423
Halloween Party,Bringing a live turkey to Thanksgiving dinner,0.7423
Woods,Interrupting a moment of silence with a loud ringtone,0.7423
Small Town,Discovering a Conspiracy,0.7423
Hair Salon,Starting a Bar Fight,0.7423
