Location,Scenario,Similarity
Convenience Store,Office Holiday Party,0.6565
Hair Salon,Evading Arrest,0.6565
Observatory,Performing an Exorcism,0.6565
Ghost Town,Lads/Girls Holiday Vibe,0.6565
House Party,Ruining a child's birthday party with an inappropriate magic trick,0.6564
House Fire,Starting a Cult,0.6564
Woods,Trying to escape a maze,0.6564
Park,Lost in Translation,0.6564
Lighthouse,Emergency Evacuation,0.6564
Beach Party,Getting Ghosted,0.6564
City,Getting Ghosted,0.6564
Movie Set,First Day at a New Job,0.6564
Cruise Ship,Finding a treasure map on the back of a fast-food receipt,0.6564
Teacher's Lounge,Starting a Bar Fight,0.6564
Aquarium,Breaking a priceless vase at a museum and trying to glue it back,0.6564
Golf Course,Bumping into a Celebrity,0.6564
University Quad,Attempting to steal the Declaration of Independence,0.6564
Art Gallery,Lost in Translation,0.6564
Deli,Getting caught hoarding all the free samples at the bakery,0.6564
Abandoned Warehouse,Starting a Cult,0.6564
Camp,Negotiating a Ransom,0.6564
Amusement Park,Lads/Girls Holiday Vibe,0.6564
Woods,Extreme Jet Lag,0.6563
Skate Park,Being challenged to a dance battle by a group of teenagers,0.6563
Dystopian World,Causing a Public Scene,0.6563
Grocery Store,Messy Divorce,0.6563
Pharmacy,Getting Locked Out,0.6563
Tattoo Parlor,Flirting with the Boss,0.6563
Secret Passageway,Getting Stood Up,0.6563
Black-Tie Event,Scamming the Scammer,0.6563
Museum,Running Out of Gas,0.6563
Video Arcade,High-Stakes Poker Game,0.6563
Bomb Shelter,Trying to escape a maze,0.6563
Green Room,Solving a Murder,0.6563
Man Cave,Evading Arrest,0.6563
Movie Set,Speed Dating,0.6563
House Party,Awkward First Kiss,0.6563
Ghost Town,Hacking a Secure System,0.6563
Fast Food Restaurant,Investigating a Haunting,0.6563
Nursing Home,Spitting out terrible food into a napkin while the chef watches,0.6563
Halloween Party,Getting Stood Up,0.6563
Egyptian Pyramids,Breaking a priceless vase at a museum and trying to glue it back,0.6563
Hardware Store,Investigating a Haunting,0.6563
Bowling Alley,Staging an Intervention,0.6563
Race Track (Horses),Murder Mystery Dinner,0.6563
Nursing Home,Amateur Ghost Hunting,0.6562
Maze,Hiding a Fugitive,0.6562
Lake House,Office Holiday Party,0.6562
Car Accident Site,Investigating a Haunting,0.6562
Canal,Breaking a priceless vase at a museum and trying to glue it back,0.6562
Snowy Mountain Peak,Running from the Cops,0.6562
Cemetery,Trying to sell ice to an Eskimo,0.6562
Junkyard,Messy Breakup,0.6562
Spaceship,Defending a flat-earth theory at a NASA conference,0.6562
Black-Tie Event,Being challenged to a dance battle by a group of teenagers,0.6562
Camp,Performing an Exorcism,0.6562
Clock Tower,Starting a Cult,0.6562
Courtroom,Negotiating a Ransom,0.6562
County Fair,Murder Mystery Dinner,0.6562
White House,Alien Abduction Attempt,0.6562
Cruise Ship,Trying to convince the group you aren't horribly seasick,0.6562
Dystopian World,Evading Arrest,0.6562
Prison Cell,Messy Breakup,0.6562
Diner,Arguing with a Bouncer,0.6562
Prison Cell,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6562
Birthday Party,Double Date Drama,0.6561
Moon Base,Defending a flat-earth theory at a NASA conference,0.6561
Construction Site,Faking expertise in a high-level technical meeting,0.6561
Bank Vault,Trying to steal a famous painting from a museum,0.6561
Amusement Park,Hacking a Secure System,0.6561
Old Pick-Up Truck,Trying to sell ice to an Eskimo,0.6561
Video Arcade,Staging an Intervention,0.6561
Bazaar,Negotiating a Ransom,0.6561
Tree House,Performing an Exorcism,0.6561
Submarine,Alien Abduction Attempt,0.6561
Airplane,Attempting to bring a sword through airport security,0.6561
Cemetery,Running Out of Gas,0.6561
Run-Down Apartment,Starting a Cult,0.6561
Run-Down Apartment,First Day at a New Job,0.6561
Dorm Room,Arguing with a Bouncer,0.6561
Medieval Castle,Planning a Bank Heist,0.6561
Run-Down Apartment,Amateur Ghost Hunting,0.6561
Pet Store,Starting a Cult,0.6561
Horse Racing Track,Bumping into a Celebrity,0.6561
Igloo,Keeping a stolen penguin in your bathtub,0.6561
Man Cave,Flirting with the Boss,0.6561
Creek,Running Out of Gas,0.656
Military Helicopter,Discovering a Conspiracy,0.656
Bowling Alley,Losing Your Passport,0.656
Boarding School,Firing a Friend,0.656
Ghost Town,Messy Divorce,0.656
Ocean Floor,Evading Arrest,0.656
Beach Party,Escape Room Disaster,0.656
Bomb Shelter,Extreme Jet Lag,0.656
Liquor Store,Starting a Cult,0.656
Post-Apocalyptic World,Cult Initiation Ceremony,0.656
Run-Down Apartment,Not knowing how to use a manual can opener,0.656
Dorm Room,Flirting with the Boss,0.656
Bank Vault,Getting Stood Up,0.656
Prison,Staging an Intervention,0.656
University Quad,Taking a bite out of a decorative wax apple,0.656
Teacher's Lounge,Arguing Over the Bill,0.656
Beach Party,Cleaning Up After a Massive Party,0.656
Prison,Alien Abduction Attempt,0.656
Zoo,Arguing with a Bouncer,0.656
Cheap Motel,Murder Mystery Dinner,0.656
International Space Station,Not knowing how to use a manual can opener,0.656
Carnival Funhouse,High-Stakes Poker Game,0.656
Virtual Reality World,Dealing with a Karen,0.656
Maze,Running from the Cops,0.656
Funeral Home,Messy Breakup,0.656
Bridge,Faking expertise in a high-level technical meeting,0.656
Police Station,Bumping into a Celebrity,0.6559
Taxi Cab,Awkward Blind Date,0.6559
Water Park,Epic Prank War,0.6559
Small Town,Trying to start a fire by rubbing two sticks together,0.6559
Forest,Getting Locked Out,0.6559
Salvage Yard,First Day at a New Job,0.6559
Swamp,Swimming in a public fountain,0.6559
Frozen Tundra,Solving a Murder,0.6559
Taxi Cab,Finding a treasure map on the back of a fast-food receipt,0.6559
Public Restroom,Starting a Cult,0.6559
Thrift Store,Speed Dating,0.6559
Cabin In The Woods,Speed Dating,0.6559
Science Lab,Performing an Exorcism,0.6559
Apartment Building,Explaining to your landlord why there is a horse in your apartment,0.6559
Bakery,Bribing a health inspector with stale cookies,0.6559
Principal's Office,Getting caught stealing lunches from the breakroom fridge,0.6559
Taxi Cab,Taking a bite out of a decorative wax apple,0.6559
Principal's Office,Epic Prank War,0.6559
Garage,Evading Arrest,0.6559
Chicken Coop,Solving a Murder,0.6559
Restaurant,Attempting to pay for dinner with a handwritten poem,0.6559
University Quad,Causing a Public Scene,0.6559
Fitness Center,Getting Locked Out,0.6558
Bookstore,Discovering a secret room behind a bookcase,0.6558
Mall,Dealing with a Karen,0.6558
Convenience Store,Hiding in a retail store until after it closes,0.6558
Garage Sale,Planning a Bank Heist,0.6558
Courthouse,Attempting to steal the Declaration of Independence,0.6558
Indoor Shooting Range,Getting Locked Out,0.6558
Limousine,Arguing with a Bouncer,0.6558
Cruise Ship,Matchmaking Disaster,0.6558
Hardware Store,Evading Arrest,0.6558
Forest,Extreme Jet Lag,0.6558
Hotel Room,Awkward First Kiss,0.6558
Courtroom,Getting caught trying to steal a souvenir from a sacred temple,0.6558
Nightclub,Evading Arrest,0.6558
Police Car,Trying to escape a maze,0.6558
Palace,Causing a Public Scene,0.6558
Zoo,Trying to sell ice to an Eskimo,0.6558
Underwater,Trying to convince the group you aren't horribly seasick,0.6558
Small Town,Arguing Over the Bill,0.6558
Birthday Party,Destroying a child's belief in Santa Claus,0.6558
Secret Passageway,Starting a Cult,0.6558
Secret Passageway,Getting Friend-Zoned,0.6558
Castle,Breaking a priceless vase at a museum and trying to glue it back,0.6557
Junkyard,Evading Arrest,0.6557
Waterfall,Negotiating a Ransom,0.6557
Dungeon,Emergency Evacuation,0.6557
Trailer Park,Running into an Ex,0.6557
Cheap Motel,Speed Dating,0.6557
Mall,Running Out of Gas,0.6557
Psychiatric Ward,Falling in Love at First Sight,0.6557
Outdoor Pool,Extreme Jet Lag,0.6557
Hotel Room,High-Stakes Poker Game,0.6557
Fishing Village,Extreme Jet Lag,0.6557
Hotel Room,Double Date Drama,0.6557
On the phone,Spilling coffee on a priceless piece of art,0.6557
Military Base,Office Holiday Party,0.6557
Observatory,Speed Dating,0.6557
Ghost Town,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6557
Astronaut Training Facility,Trying to land a commercial airplane with no flight experience,0.6557
Moon Base,Trying to sell ice to an Eskimo,0.6557
Laboratory,Staging an Intervention,0.6557
Salvage Yard,Firing a Friend,0.6557
Small Town Street,First Day at a New Job,0.6556
Airplane,Alien Abduction Attempt,0.6556
Hospital,Trying to escape a maze,0.6556
Prison Cell,Stranded with No Signal,0.6556
Ocean Floor,Getting Locked Out,0.6556
College Campus,Trying to escape a maze,0.6556
River,Causing a Public Scene,0.6556
Castle,Getting Ghosted,0.6556
Pharmacy,Running Out of Gas,0.6556
Art Gallery,Trying to sell ice to an Eskimo,0.6556
Pet Store,Causing a Public Scene,0.6556
White House,Getting Stood Up,0.6556
Race Track (Horses),Lost in Translation,0.6556
Public Restroom,Trapped in a revolving door with a mime,0.6556
Water Park,Running from the Cops,0.6556
Liquor Store,Hiding a Fugitive,0.6556
Penthouse Suite,Dealing with a Karen,0.6556
Theater,Speed Dating,0.6556
Therapist's Office,High-Stakes Poker Game,0.6556
Laboratory,Discovering a Conspiracy,0.6556
University Quad,Performing an Exorcism,0.6555
Waiting Room,Alien Abduction Attempt,0.6555
Abandoned Warehouse,Negotiating a Ransom,0.6555
Photography Studio,Getting Stood Up,0.6555
Clock Tower,Getting Ghosted,0.6555
Elevator,Dealing with a Karen,0.6555
Hospital Room,Impersonating a doctor to get better hospital food,0.6555
Underwater,Not knowing how to use a manual can opener,0.6555
Underground Storm Shelter,Being trapped in a sleeping bag during a bear attack,0.6555
Old Pick-Up Truck,Flirting with the Boss,0.6555
Ambulance,Extreme Jet Lag,0.6555
Egyptian Pyramids,Planning a Bank Heist,0.6555
Elevator,Discovering a Conspiracy,0.6555
Emergency Room,Planning a Prison Escape,0.6555
Tank,Evading Arrest,0.6555
Small Town,Stranded with No Signal,0.6555
Frozen Tundra,Hiding a Fugitive,0.6555
Alien Planet,Staging an Intervention,0.6555
Garage,Getting Ghosted,0.6555
Secret Passageway,Flirting with the Boss,0.6555
Salvage Yard,Lost in Translation,0.6555
Woods,Dealing with a Karen,0.6555
Tree House,Discovering a secret room behind a bookcase,0.6555
Igloo,Not knowing how to use a manual can opener,0.6555
Pawn Shop,Firing a Friend,0.6555
Indoor Shooting Range,Investigating a Haunting,0.6554
Dorm Room,Starting a Cult,0.6554
Prison Cell,Interrupting a Wedding,0.6554
Underwater,Overfeeding someone else's fish until they explode,0.6554
Bank Vault,Running Out of Gas,0.6554
Medieval Castle,Bumping into a Celebrity,0.6554
Medieval Village,Evading Arrest,0.6554
Teacher's Lounge,Starting a Cult,0.6554
Post-Apocalyptic World,Defending a flat-earth theory at a NASA conference,0.6554
Fishing Village,First Day at a New Job,0.6554
Virtual Reality World,Losing Your Passport,0.6554
On the phone,Trying to claim a tax deduction for your imaginary friend,0.6554
House Party,After-Party That Won't End,0.6554
Police Station,Starting a Bar Fight,0.6554
Boarding School,Alien Abduction Attempt,0.6554
Mechanic's Shop,Lost in Translation,0.6554
Living Room,Bumping into a Celebrity,0.6554
Secret Passageway,Attempting to steal the Declaration of Independence,0.6554
Executive's Office,Extreme Jet Lag,0.6554
Public Restroom,Dropping your phone in the toilet while on a video call,0.6554
Airport,Running into an Ex,0.6554
Nursing Home,3am Drunk Food Run,0.6553
Zoo,Hiding a Fugitive,0.6553
Motel,Muddy Festival Camping,0.6553
Small Town Street,Trying to escape a maze,0.6553
Woods,Speed Dating,0.6553
Penthouse Suite,Starting a Bar Fight,0.6553
Ancient Ruins,Hacking a Secure System,0.6553
Nature Hike,Solving a Murder,0.6553
Museum,Negotiating a Ransom,0.6553
Market,Emergency Evacuation,0.6553
Woods,Getting Ghosted,0.6553
Prison Cell,Scamming the Scammer,0.6553
Bowling Alley,Epic Prank War,0.6553
On the phone,Attempting to steal the Declaration of Independence,0.6553
Police Station,Interrupting a Wedding,0.6553
Airplane,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6553
Train Station,3am Drunk Food Run,0.6553
Rock Concert,Awkward First Kiss,0.6553
Carnival Funhouse,Running Out of Gas,0.6553
Dorm Room,Double Date Drama,0.6553
Garage Sale,Firing a Friend,0.6552
On the phone,Attempting to perform open-heart surgery using a YouTube tutorial,0.6552
Workshop,Lost in Translation,0.6552
Public Restroom,Spitting out terrible food into a napkin while the chef watches,0.6552
Tattoo Parlor,Dealing with a Karen,0.6552
Volcano,Lost in Translation,0.6552
Virtual Reality World,Negotiating a Ransom,0.6552
Underwater City,Hacking a Secure System,0.6552
Online,Falling in love with a customer service chatbot,0.6552
Restaurant,Finding a treasure map on the back of a fast-food receipt,0.6552
Taxi,Getting Friend-Zoned,0.6552
Country Road,Emergency Evacuation,0.6552
Country Road,Running Out of Gas,0.6552
Library,Speed Dating,0.6552
Big City Street,Emergency Evacuation,0.6552
Cabin In The Woods,Flirting with the Boss,0.6552
Secret Laboratory,Cheating at a Board Game,0.6552
Subway Train,Office Holiday Party,0.6552
Bowling Alley,3am Drunk Food Run,0.6552
Frozen Tundra,Getting Friend-Zoned,0.6552
Ski Resort,Evading Arrest,0.6552
Indoor Shooting Range,Running Out of Gas,0.6552
Circus,Trying to sell ice to an Eskimo,0.6552
Caravan,Starting a Cult,0.6552
Forest,Bumping into a Celebrity,0.6551
Train Station,Running into an Ex,0.6551
Dragon's Lair,Double Date Drama,0.6551
Train Station,Trying to escape a maze,0.6551
Maze,Running Out of Gas,0.6551
Spaceship,Discovering a Conspiracy,0.6551
Airplane,Faking expertise in a high-level technical meeting,0.6551
Penthouse Suite,Planning a Bank Heist,0.6551
Cemetery,Lost in Translation,0.6551
Bus Station,Solving a Murder,0.6551
Prison,Trying to arrest a suspect using a citizen's arrest,0.6551
Ocean,Trying to sell ice to an Eskimo,0.6551
Amusement Park,Planning a Prison Escape,0.6551
Submarine,Hiding a Fugitive,0.6551
Dragon's Lair,High-Stakes Poker Game,0.6551
Attic,Performing an Exorcism,0.6551
Courthouse,Negotiating a Ransom,0.6551
Haunted House,Attempting to banish a poltergeist with a broom,0.6551
Executive's Office,Lost in Translation,0.6551
Tattoo Parlor,Investigating a Haunting,0.6551
College Campus,Getting Stood Up,0.6551
Public Restroom,Getting Friend-Zoned,0.6551
Sewers,Running Out of Gas,0.6551
Halloween Party,Messy Breakup,0.6551
War Zone,Escape Room Disaster,0.6551
Quarry,Solving a Murder,0.6551
Principal's Office,Running from the Cops,0.6551
Museum,Performing an Exorcism,0.6551
Waiting Room,Trying to start a fire by rubbing two sticks together,0.6551
Industrial Factory,Hacking a Secure System,0.6551
Race Track (Horses),Breaking a priceless vase at a museum and trying to glue it back,0.655
Fire Station,Hacking a Secure System,0.655
Bank Vault,Performing an Exorcism,0.655
Country Road,Running from the Cops,0.655
Courthouse,Convincing a judge you are legally a sovereign citizen,0.655
Harbor,Negotiating a Ransom,0.655
Waterfall,Taking a bite out of a decorative wax apple,0.655
Sporting Event,Hacking a Secure System,0.655
Ghost Town,Alien Abduction Attempt,0.655
Bonfire,Ruining a child's birthday party with an inappropriate magic trick,0.655
Subway Tunnel,Dropping the bride's ring down a sewer grate,0.655
Elevator,Getting trapped in a porta-potty,0.655
Teacher's Lounge,Getting Ghosted,0.655
Liquor Store,Flirting with the Boss,0.655
Battlefield,Matchmaking Disaster,0.655
Military Base,Getting Stood Up,0.655
Parking Lot,Drunk Calling the Ex,0.655
Convenience Store,Flirting with the Boss,0.655
Village,Speed Dating,0.655
Fitness Center,Trying to escape a maze,0.655
Waiting Room,Falling in Love at First Sight,0.655
Farmer's Market,Evading Arrest,0.6549
Virtual Reality World,Office Holiday Party,0.6549
Forest,Faking expertise in a high-level technical meeting,0.6549
Ambulance,Breaking a priceless vase at a museum and trying to glue it back,0.6549
Train Station,Negotiating a Ransom,0.6549
Amusement Park,Cheating at a Board Game,0.6549
Black-Tie Event,Dealing with a Karen,0.6549
Mall,Emergency Evacuation,0.6549
Creek,Causing a Public Scene,0.6549
Underwater City,Performing an Exorcism,0.6549
Small Town Street,Emergency Evacuation,0.6549
Prison Cell,Epic Prank War,0.6549
Ski Resort,Losing Your Passport,0.6549
Swamp,Hiding a Fugitive,0.6549
Taxi,Finding a treasure map on the back of a fast-food receipt,0.6549
Tank,Breaking a priceless vase at a museum and trying to glue it back,0.6549
Chicken Coop,Discovering a Conspiracy,0.6549
War Zone,Losing Your Passport,0.6549
Living Room,Running into an Ex,0.6549
Secret Passageway,Getting caught trying to steal a souvenir from a sacred temple,0.6549
Lake,Negotiating a Ransom,0.6549
Teacher's Lounge,Negotiating a Ransom,0.6548
Secret Passageway,Amateur Ghost Hunting,0.6548
Library,Faking expertise in a high-level technical meeting,0.6548
Horse Racing Track,Murder Mystery Dinner,0.6548
Pirate Ship,Causing a Public Scene,0.6548
Rock Concert,Awkward Blind Date,0.6548
Hospital Room,Running from the Cops,0.6548
Secret Passageway,Scamming the Scammer,0.6548
Casino,Solving a Murder,0.6548
Bank,Trying to sell ice to an Eskimo,0.6548
Fishing Village,Losing Your Passport,0.6548
Halloween Party,Getting caught faking an accent at a party,0.6548
Penthouse Suite,Getting Friend-Zoned,0.6548
Bomb Shelter,Discovering a Conspiracy,0.6548
Birthday Party,Escape Room Disaster,0.6548
Medieval Village,Investigating a Haunting,0.6548
Cemetery,Taking a bite out of a decorative wax apple,0.6548
Bookstore,Starting a Cult,0.6548
Living Room,Evading Arrest,0.6548
Trailer Park,Getting Friend-Zoned,0.6548
Village,Running Out of Gas,0.6548
Skate Park,Starting a Bar Fight,0.6548
Hair Salon,Getting Friend-Zoned,0.6548
University Lecture Hall,Hiding a Fugitive,0.6548
Camp,Getting Stood Up,0.6548
Police Car,Starting a Cult,0.6548
Principal's Office,Bumping into a Celebrity,0.6548
Workshop,Getting caught building a doomsday device in the garage,0.6548
Restaurant,Dealing with a Karen,0.6548
Cabin In The Woods,Escaping a bad blind date by faking an alien abduction,0.6548
Empty Lot,Stranded with No Signal,0.6548
Run-Down Apartment,Making a Desperate Deal,0.6547
On the phone,3am Drunk Food Run,0.6547
Emergency Room,Making a Desperate Deal,0.6547
On the phone,Explaining to the vet why the dog is green,0.6547
Mechanic's Shop,Negotiating a Ransom,0.6547
Carnival,Losing Your Passport,0.6547
Principal's Office,Causing a Public Scene,0.6547
Boarding School,Hacking a Secure System,0.6547
Canal,Lost in Translation,0.6547
Theater,Trying to escape a maze,0.6547
Alley,Evading Arrest,0.6547
Penthouse Suite,Investigating a Haunting,0.6547
Courthouse,Emergency Evacuation,0.6547
Tree House,First Day at a New Job,0.6547
Nature Hike,Bumping into a Celebrity,0.6547
Tree House,Running Out of Gas,0.6547
Botanical Garden,Evading Arrest,0.6546
Art Studio,Speed Dating,0.6546
Fast Food Restaurant,Arguing Over the Bill,0.6546
Hunting Cabin,Extreme Jet Lag,0.6546
Public Restroom,Finding a treasure map on the back of a fast-food receipt,0.6546
Spaceship,Getting bitten by a radioactive spider and getting terrible powers,0.6546
Brewery,Speed Dating,0.6546
Farmer's Market,Trying to escape a maze,0.6546
Abandoned Mine,Causing a Public Scene,0.6546
Hardware Store,Arguing with a Bouncer,0.6546
Post-Apocalyptic World,Staging an Intervention,0.6546
Hot Springs,Running from the Cops,0.6546
Penthouse Suite,Running Out of Gas,0.6546
Pub,Trying to escape a maze,0.6546
Ghost Town,Stranded with No Signal,0.6546
Bank Vault,Speed Dating,0.6546
Virtual Reality World,Planning a Bank Heist,0.6546
Dragon's Lair,Investigating a Haunting,0.6546
Prison,Not knowing how to use a manual can opener,0.6546
Castle,Evading Arrest,0.6546
Principal's Office,Running into an Ex,0.6546
Ancient Library,Solving a Murder,0.6546
Bomb Shelter,Arguing with a Bouncer,0.6546
Emergency Room,Tinder Date from Hell,0.6546
Funeral Home,Trying to escape a maze,0.6546
Cave,Trying to sell ice to an Eskimo,0.6546
Car Wash,Backing over your neighbor's prized rose bush,0.6546
Lake House,Emergency Evacuation,0.6546
Halloween Party,Awkward First Kiss,0.6546
Theater,Interrupting a Wedding,0.6546
Movie Theater,Epic Prank War,0.6545
Campsite,Speed Dating,0.6545
Apartment Building,Firing a Friend,0.6545
Tree House,Getting Ghosted,0.6545
Casino,Running Out of Gas,0.6545
Grocery Store,Evading Arrest,0.6545
Parade,Trying to escape a maze,0.6545
Art Gallery,Getting Ghosted,0.6545
Boarding School,Awkward First Kiss,0.6545
Shopping Mall,Arguing Over the Bill,0.6545
Upscale Hotel Lobby,Planning a Bank Heist,0.6545
Hardware Store,Lost in Translation,0.6545
Green Room,Dealing with a Karen,0.6545
Cabin In The Woods,Scamming the Scammer,0.6545
Wine Cellar,Starting a Bar Fight,0.6545
Casual Dining Restaurant,First Day at a New Job,0.6545
Hospital,Office Holiday Party,0.6545
Botanical Garden,Causing a Public Scene,0.6545
Truck Stop,Interrupting a Wedding,0.6545
Laboratory,Escape Room Disaster,0.6545
Police Station,Quitting a gang by submitting a formal letter of resignation,0.6545
Dorm Room,Epic Prank War,0.6545
Halloween Party,Awkward Blind Date,0.6544
Hiking Trail,Speed Dating,0.6544
War Zone,Investigating a Haunting,0.6544
Therapist's Office,Backing over your neighbor's prized rose bush,0.6544
Pharmacy,Running from the Cops,0.6544
Casual Dining Restaurant,Emergency Evacuation,0.6544
Motel,Finding a treasure map on the back of a fast-food receipt,0.6544
Old Pick-Up Truck,Interrupting a Wedding,0.6544
Bank,Performing an Exorcism,0.6544
Restaurant,Running Out of Gas,0.6544
Underwater City,Alien Abduction Attempt,0.6544
Car Accident Site,First Day at a New Job,0.6544
Cruise Ship,Waking up in a different country with no memory of how you got there,0.6544
House Fire,Murder Mystery Dinner,0.6544
Waterfall,Trying to start a fire by rubbing two sticks together,0.6544
Pool Hall,Wearing a tuxedo to a pool party,0.6544
Spaceship,Causing a Public Scene,0.6544
Cruise Ship,Interrupting a Wedding,0.6544
Dragon's Lair,Getting Friend-Zoned,0.6544
Urban Rooftop,Office Holiday Party,0.6544
Mechanic's Shop,Amateur Ghost Hunting,0.6543
Arcade,Causing a Public Scene,0.6543
Ghost Town,Planning a Bank Heist,0.6543
Yacht,Causing a Public Scene,0.6543
Antiques Shop,Scamming the Scammer,0.6543
Industrial Factory,Starting a Cult,0.6543
Car Accident Site,Negotiating a Ransom,0.6543
Arcade,Starting a Bar Fight,0.6543
Jewelry Store,Performing an Exorcism,0.6543
Motel,Running from the Cops,0.6543
Birthday Party,Double Booking a Date,0.6543
Principal's Office,Firing a Friend,0.6543
Mansion,Discovering a secret room behind a bookcase,0.6543
Limousine,Backing over your neighbor's prized rose bush,0.6543
Graveyard,Breaking a priceless vase at a museum and trying to glue it back,0.6543
Green Room,Running from the Cops,0.6543
College Campus,Hacking a Secure System,0.6543
Small Town,Staging an Intervention,0.6543
Quarry,Breaking a priceless vase at a museum and trying to glue it back,0.6543
Birthday Party,Cleaning Up After a Massive Party,0.6543
Man Cave,Messy Divorce,0.6543
Jungle,Trying to sell ice to an Eskimo,0.6543
Subway Tunnel,Tinder Date from Hell,0.6543
Theater,Office Holiday Party,0.6543
Elementary School Classroom,Trying to escape a maze,0.6543
Water Park,Trying to escape a maze,0.6542
Airport,Trying to sell ice to an Eskimo,0.6542
Police Station,Murder Mystery Dinner,0.6542
Ghost Town,Witnessing a bank robbery and asking for an autograph,0.6542
Graveyard,Evading Arrest,0.6542
Office Cubicle,Alien Abduction Attempt,0.6542
Cavern,Cult Initiation Ceremony,0.6542
County Fair,Firing a Friend,0.6542
Post-Apocalyptic World,Awkward First Kiss,0.6542
Subway Tunnel,Getting Locked Out,0.6542
Dorm Room,Drunk Calling the Ex,0.6542
Cruise Ship,High-Stakes Poker Game,0.6542
Pub,Evading Arrest,0.6542
Indoor Shooting Range,Extreme Jet Lag,0.6542
Hospital Room,Messy Breakup,0.6542
Public Restroom,Drunk Calling the Ex,0.6541
Photography Studio,Starting a Cult,0.6541
Camp,Lads/Girls Holiday Vibe,0.6541
Ancient Library,Performing an Exorcism,0.6541
Bridge,Kicking a soccer ball into someone's face,0.6541
Medieval Castle,Lads/Girls Holiday Vibe,0.6541
Rock Concert,Amateur Ghost Hunting,0.6541
Photography Studio,Extreme Jet Lag,0.6541
Medieval Castle,Dealing with a Karen,0.6541
On the phone,Being trapped in a sleeping bag during a bear attack,0.6541
Trailer Park,Staging an Intervention,0.6541
Circus,Dropping the bride's ring down a sewer grate,0.6541
Secret Passageway,Staging an Intervention,0.6541
Zoo,Running Out of Gas,0.6541
Principal's Office,Lost in Translation,0.6541
Emergency Room,Backing out of a promise to donate a kidney,0.6541
Elevator,Getting bitten by a radioactive spider and getting terrible powers,0.6541
Construction Site,Interrupting a Wedding,0.6541
Courtroom,Defending a prenuptial agreement written on a napkin,0.6541
Tank,Lost in Translation,0.6541
Casual Dining Restaurant,Solving a Murder,0.6541
Fishing Village,Trying to sell ice to an Eskimo,0.654
Shopping Mall,Getting caught putting a fake bug in your soup for a free meal,0.654
Subway Tunnel,Negotiating a Ransom,0.654
Beach Party,Arguing with a Bouncer,0.654
Ocean Floor,Messy Divorce,0.654
Police Station,Running Out of Gas,0.654
Art Gallery,Hiding a Fugitive,0.654
Countryside,Running Out of Gas,0.654
Post-Apocalyptic World,Navigating a foreign city with a broken map and no language skills,0.654
Military Base,Starting a Bar Fight,0.654
Car Wash,Planning a Bank Heist,0.654
Dorm Room,Accidentally donating your roommate's favorite clothes,0.654
Trailer Park,Scamming the Scammer,0.654
House Party,Cult Initiation Ceremony,0.654
Golf Course,Getting Friend-Zoned,0.654
Antiques Shop,Murder Mystery Dinner,0.654
Battlefield,Arguing Over the Bill,0.654
Used Car Dealership,First Day at a New Job,0.654
Ancient Library,Discovering a Conspiracy,0.654
Casual Dining Restaurant,Dealing with a Karen,0.654
Empty Lot,Epic Prank War,0.654
Circus,Hiding a Fugitive,0.654
Beach Party,High-Stakes Poker Game,0.6539
Halloween Party,Arguing with a Bouncer,0.6539
Birthday Party,Disastrous First Date,0.6539
Yacht,Extreme Jet Lag,0.6539
Fishing Village,Causing a Public Scene,0.6539
Virtual Reality World,Getting Lost Without a Map,0.6539
Nightclub,Escaping a boring date through the bathroom window,0.6539
Wine Cellar,Discovering a secret room behind a bookcase,0.6539
Fishing Village,Trying to escape a maze,0.6539
Construction Site,Losing Your Passport,0.6539
Rock Concert,Getting Locked Out,0.6539
Waiting Room,Getting Lost Without a Map,0.6539
Waiting Room,Stranded with No Signal,0.6539
Waiting Room,Getting trapped in a porta-potty,0.6539
Sporting Event,Getting caught putting a fake bug in your soup for a free meal,0.6539
Circus,Negotiating a Ransom,0.6539
Pirate Ship,Murder Mystery Dinner,0.6539
Observatory,Defending a flat-earth theory at a NASA conference,0.6539
Tattoo Parlor,Alien Abduction Attempt,0.6539
Maze,Getting Locked Out,0.6539
Hospital,Dealing with a Karen,0.6539
Bar,Getting Locked Out,0.6539
Dorm Room,Investigating a Haunting,0.6539
Dorm Room,Evading Arrest,0.6539
Ice Cream Parlor,Alien Abduction Attempt,0.6539
Birthday Party,Negotiating a Ransom,0.6539
Secret Passageway,Cult Initiation Ceremony,0.6539
Farmer's Market,High-Stakes Poker Game,0.6539
Movie Theater,Staging an Intervention,0.6539
Grocery Store,Speed Dating,0.6539
Tank,Getting Locked Out,0.6539
Circus,Running Out of Gas,0.6538
Shopping Mall,Amateur Ghost Hunting,0.6538
Empty Lot,Drunk Calling the Ex,0.6538
Beach Party,3am Drunk Food Run,0.6538
Residential Bathroom,Performing an Exorcism,0.6538
Public Restroom,Breaking a priceless vase at a museum and trying to glue it back,0.6538
Hunting Cabin,3am Drunk Food Run,0.6538
Caravan,Getting caught trying to steal a souvenir from a sacred temple,0.6538
Quarry,Evading Arrest,0.6538
Limousine,Causing a Public Scene,0.6538
Church,Running Out of Gas,0.6538
Mechanic's Shop,Investigating a Haunting,0.6538
Pub,Getting Ghosted,0.6538
